1,"",albums,comment.add,1,1,1,"0","0","",2013-12-25 04:56:17
2,"",badges,unlocked,1,1,1,"0","0","",2013-12-25 04:56:17
3,"",comments,item,1,1,1,"0","0","",2013-12-25 04:56:17
4,"",comments,involved,1,1,1,"0","0","",2013-12-25 04:56:17
5,"",comments,like,1,1,1,"0","0","",2013-12-25 04:56:17
6,"",conversations,reply,1,1,1,"0","0","",2013-12-25 04:56:17
7,"",conversations,invite,1,1,1,"0","0","",2013-12-25 04:56:17
8,"",conversations,new,1,1,1,"0","0","",2013-12-25 04:56:17
9,"",conversations,invited,1,1,1,"0","0","",2013-12-25 04:56:17
10,"",conversations,leave,1,1,1,"0","0","",2013-12-25 04:56:17
11,"",friends,approve,1,1,1,"0","0","",2013-12-25 04:56:17
12,"",friends,request,1,1,1,"0","0","",2013-12-25 04:56:17
13,"",likes,item,1,1,1,"0","0","",2013-12-25 04:56:17
14,"",likes,involved,1,1,1,"0","0","",2013-12-25 04:56:17
15,"",photos,comment.add,1,1,1,"0","0","",2013-12-25 04:56:17
16,"",photos,tagged,1,1,1,"0","0","",2013-12-25 04:56:17
17,"",photos,likes,1,1,1,"0","0","",2013-12-25 04:56:17
18,"",profile,followed,1,1,1,"0","0","",2013-12-25 04:56:17
19,"",profile,story,1,1,1,"0","0","",2013-12-25 04:56:17
20,"",stream,tagged,1,1,1,"0","0","",2013-12-25 04:56:17
