1,"0","0","0",2881,"0","",system,ROOT,root,"","",1,"0",1000-10-10 00:00:00,1,{},"","","",434,2009-10-18 16:07:09,"0",1000-10-10 00:00:00,"0",*,1
9,"0","0","0",123,"0","",system,ROOT,root,"","",1,"0","0000-00-00 00:00:00",1,{},"","","","0",2009-10-18 16:07:09,"0","0000-00-00 00:00:00","0",*,1
30,85,9,1,2,1,non-categorizzato,com_contact,Non categorizzato,non-categorizzato,"","",1,"0","0000-00-00 00:00:00",1,"{""category_layout"":"""",""image"":""""}","","","{""author"":"""",""robots"":""""}",62,2012-09-17 13:40:05,"0","0000-00-00 00:00:00","0",*,1
107,838,9,3,14,1,pubblicita,com_banners,Pubblicità,pubblicita,"","",1,"0","0000-00-00 00:00:00",1,"{""category_layout"":"""",""image"":"""",""image_alt"":""""}","","","{""author"":"""",""robots"":""index, nofollow""}",62,2013-05-14 20:00:36,62,2021-04-29 07:43:55,"0",*,1
122,1289,9,15,18,1,home,com_banners,Home,home,"","",1,"0","0000-00-00 00:00:00",1,"{""category_layout"":"""",""image"":""""}","","","{""author"":"""",""robots"":""""}",62,2014-03-10 16:12:17,"0","0000-00-00 00:00:00","0",*,1
123,704,9,19,54,1,interni,com_banners,Interni,interni,"","",1,"0","0000-00-00 00:00:00",1,"{""category_layout"":"""",""image"":"""",""image_alt"":""""}","","","{""author"":"""",""robots"":""""}",62,2014-03-10 17:18:18,62,2020-01-09 09:30:40,"0",*,1
127,1295,9,55,56,1,bike-hotels,com_banners,Bike Hotels,bike-hotels,"","<div>&nbsp;</div>",1,"0","0000-00-00 00:00:00",1,"{""category_layout"":"""",""image"":""""}","","","{""author"":"""",""robots"":""""}",62,2014-03-28 13:29:42,"0","0000-00-00 00:00:00","0",*,1
128,1296,123,20,21,2,interni/guida-cicloturismo,com_banners,Guida cicloturismo,guida-cicloturismo,"","<div>&nbsp;</div>",1,"0","0000-00-00 00:00:00",1,"{""category_layout"":"""",""image"":""""}","","","{""author"":"""",""robots"":""""}",62,2014-04-03 17:12:14,62,2014-11-18 10:26:16,"0",*,1
130,1298,123,22,23,2,interni/ciclabili-trentino,com_banners,Ciclabili Trentino,ciclabili-trentino,"","<div>&nbsp;</div>",1,"0","0000-00-00 00:00:00",1,"{""category_layout"":"""",""image"":"""",""image_alt"":""""}","","","{""author"":"""",""robots"":""""}",62,2014-04-09 15:48:24,62,2015-11-02 20:11:19,"0",*,1
132,895,107,4,5,2,pubblicita/tour-life-in-travel,com_banners,Tour Life in Travel,tour-life-in-travel,"","",1,"0","0000-00-00 00:00:00",1,"{""category_layout"":"""",""image"":"""",""image_alt"":""""}","","","{""author"":"""",""robots"":""""}",62,2014-04-16 16:18:02,62,2021-12-15 13:25:42,"0",*,1
135,837,107,10,11,2,pubblicita/komoot,com_banners,Komoot,komoot,"","",1,"0","0000-00-00 00:00:00",1,"{""category_layout"":"""",""image"":"""",""image_alt"":""""}","","","{""author"":"""",""robots"":""""}",62,2014-05-11 16:12:08,62,2021-04-29 07:48:52,"0",*,1
