1,1,exif,angle,"0"
2,1,path,stock,/DATA/www/demo/joomla-templates/jsn_blank/j25/pro/media/com_easysocial/photos/1/1/1c07548779e11a95a2780a6b50abd270_stock.jpg
3,1,path,original,/DATA/www/demo/joomla-templates/jsn_blank/j25/pro/media/com_easysocial/photos/1/1/bd52bff1db7e882aa2a1d6c7335ea6ac_original.jpg
4,1,path,square,/DATA/www/demo/joomla-templates/jsn_blank/j25/pro/media/com_easysocial/photos/1/1/5da3ea49b4a28c1cbde0d04827ffb5b2_square.jpg
5,1,path,thumbnail,/DATA/www/demo/joomla-templates/jsn_blank/j25/pro/media/com_easysocial/photos/1/1/aa050f76d151cb962e55a89fa30e720c_thumbnail.jpg
6,1,path,featured,/DATA/www/demo/joomla-templates/jsn_blank/j25/pro/media/com_easysocial/photos/1/1/21ed576b6217e1027cddcbb0c8b8051c_featured.jpg
7,1,path,large,/DATA/www/demo/joomla-templates/jsn_blank/j25/pro/media/com_easysocial/photos/1/1/656d701608719ae87cdd9b8acf6c260f_large.jpg
8,2,exif,angle,"0"
9,2,path,stock,/DATA/www/demo/joomla-templates/jsn_blank/j25/pro/media/com_easysocial/photos/2/2/7b9ee77230e57ae4daa62f8f080f5e39_stock.jpg
10,2,path,original,/DATA/www/demo/joomla-templates/jsn_blank/j25/pro/media/com_easysocial/photos/2/2/5fec5db48fcde9799765246395f6a493_original.jpg
11,2,path,square,/DATA/www/demo/joomla-templates/jsn_blank/j25/pro/media/com_easysocial/photos/2/2/9c995d89191781b7790eded91b467d1b_square.jpg
12,2,path,thumbnail,/DATA/www/demo/joomla-templates/jsn_blank/j25/pro/media/com_easysocial/photos/2/2/372085d72cb02176736c677102e0cef0_thumbnail.jpg
13,2,path,featured,/DATA/www/demo/joomla-templates/jsn_blank/j25/pro/media/com_easysocial/photos/2/2/d05ba4037330b1303813d331714488b4_featured.jpg
14,2,path,large,/DATA/www/demo/joomla-templates/jsn_blank/j25/pro/media/com_easysocial/photos/2/2/3634dd1fa51bb594e377174565f1d0e2_large.jpg
15,3,exif,angle,"0"
