1,B),cool.png,cool-grey.png,1
2,:(,sad.png,sad-grey.png,1
3,:),smile.png,smile-grey.png,1
4,:-),smile.png,smile-grey.png,"0"
5,:-(,sad.png,sad-grey.png,"0"
6,:laugh:,laughing.png,laughing-grey.png,1
7,:cheer:,cheerful.png,cheerful-grey.png,1
8,";)",wink.png,wink-grey.png,1
9,";-)",wink.png,wink-grey.png,"0"
10,:P,tongue.png,tongue-grey.png,1
12,:X,sick.png,sick-grey.png,"0"
13,:x,sick.png,sick-grey.png,"0"
14,:angry:,angry.png,angry-grey.png,1
15,:mad:,angry.png,angry-grey.png,"0"
16,:unsure:,unsure.png,unsure-grey.png,1
17,:ohmy:,shocked.png,shocked-grey.png,1
18,:huh:,wassat.png,wassat-grey.png,1
19,:dry:,ermm.png,ermm-grey.png,1
20,:ermm:,ermm.png,ermm-grey.png,"0"
21,:lol:,grin.png,grin-grey.png,1
22,:sick:,sick.png,sick-grey.png,1
23,:silly:,silly.png,silly-grey.png,1
24,:y32b4:,silly.png,silly-grey.png,"0"
25,:blink:,blink.png,blink-grey.png,1
26,:blush:,blush.png,blush-grey.png,1
27,:kiss:,kissing.png,kissing-grey.png,1
28,:rolleyes:,blink.png,blink-grey.png,"0"
29,:woohoo:,w00t.png,w00t-grey.png,1
30,:side:,sideways.png,sideways-grey.png,1
31,:S,dizzy.png,dizzy-grey.png,1
32,:s,dizzy.png,dizzy-grey.png,"0"
33,:evil:,devil.png,devil-grey.png,1
34,:whistle:,whistling.png,whistling-grey.png,1
35,:pinch:,pinch.png,pinch-grey.png,1
36,:p,tongue.png,tongue-grey.png,"0"
37,:D,laughing.png,laughing-grey.png,"0"
