5,15,Benvenuto!,"0","0","0","0","0",4,2464,"0","0","0",5,1169670064,62,"Salve a tutti, questo forum ? stato creato per chiunque voglia lasciare o richiedere informazioni generali relative ad un viaggio compiuto o da compiere.

Qualsiasi notizia, anche le pi? banali, riguardanti una localit? mai vista, possono essere utili nella fase di organizzazione di un viaggio e per questo credo che l'esperienza personale di chi abbia visistato un luogo prima di noi sia molto pi? valida di una semplice guida turistica, spesso poco chiara e dispersiva.

Quindi, chi vuole chiedere qualcosa, chieda, e chi pu? rispondere, risponda! 
(che perla di saggezza, eh!)

Buona discussione.
Leo.",Leo,17,1183136216,67,"[b]Leo scritto:[/b]
[quote]ma con il tempo vedrai!:([/quote]

I HOPE!",tirapacchi,"0",""
32,15,STOP IPOCRISIA,"0","0","0","0","0",7,5938,"0","0","0",32,1191247488,67,"Mi è stato chiesto di aprire questo topic...

Basta ipocrisia e basta retorica!!!!!!!!
Leo, leggendo i tuoi utlimi articoli traspare che è giunta l'ora di prendere la via del ritorno...",tirapacchi,38,1191852711,67,"[b]Leo scritto:[/b]
[quote]Grazie!
Evitero` di scrivere ulteriori articoli ipocriti.

Va be`, cerchero` di essere meno smielato prossimamente...

See you in hell!:evil:[/quote]

:S 

hai iniziato male, visto l'ultimo articolo sui cieli australiani (testualmente: \&quot;Sono tutto solo sul ponte della barca ad ammirare questo cielo, ascoltando le onde frangersi sulla chiglia della Broomswick, cullato dal lento rollio ed ancora una volta sono sull`orlo delle lacrime per la felicita` data dal posto magico e dalla sensazione di assoluta liberta` che esso mi fa provare\&quot;).
Ad ogni modo il sito è tuo e puoi scrivere quello che vuoi: lascia che ti dica che non ti credevamo così poeta (per non essere volgari...).

:dry: 

the Best...ia:evil:  e il suo amico arrampicatoreB)  mi hanno chiesto di aprire il topic, ma uno fa qualche visita di rado e l'altro non si ricorda nemmeno l'indirizzo del sito: ci si imbatte per sbaglio una volta ogni due-tre mesi.

take care! ;)",tirapacchi,"0",""
64,15,Travel gallery,"0","0","0","0","0",4,2510,"0","0","0",64,1204902115,67,"Questo thread discute l'articolo: [url=http://www.lifeintravel.it/index.php?option=content&task=view&Itemid=1&id=221]Travel gallery[/url]

B) le foto sono bellissime!!!

la mia preferita tramonto ad adelaide, mentre mi sembrano poco significative e un po' ipocrite (:evil: ) fuochi d'artificio, kangaroo, uluru, forme, l'occhio e vele famose...

cmq complimenti. ci sentiamo, ciao!!!",tirapacchi,68,1204916341,62,"Grazie Tirapacchi!

E' vero, poi mi gaso troppo.:P 
E poi non dovresti dire le bugie:whistle: ... anche se a fin di bene!B) 


Per i Maori credo ci vorra' un pochetto!
Ma per ora nn ho nulla da fare quindi mi diverto qui.",Leo,"0",""
65,15,annunci,"0","0","0","0","0",2,2312,"0","0","0",65,1204903115,67,":sick: citazione: Se hai fatto un viaggio visitando luoghi che ti sono rimasti nel cuore e vuoi condividere le tue emozioni ed esperienze con altri viaggiatori, registrati su \&quot;Life in Travel\&quot; ed inviaci il tuo viaggio.  Sarà pubblicato nella categoria \&quot;Viaggi=&gt; I viaggi degli amici\&quot;. 

in quanti siete Leo? inviaci il tuo viaggio..
tanto lo sappiamo benissimo che dietro sto sito ci 6 solo te.. sto plurale ipocrita sa un po' di pontificato!!!!!",tirapacchi,69,1204916541,62,"Questo annuncio era stato inserito appena fatto l'upload del sito on-line,
nella speranza (vana:( ) che diventasse un po' piu' popolare e qualcuno mi desse una mano a gestire le miriadi di mail spedite!

Le miriadi di mail nn sono mai state spedite... ma io attendo fiducioso:huh: !

Sempre grazie dei tuoi generosi commenti, se nn ci fossi tu....!",Leo,"0",""
76,15,Diritti umani ed olimpiadi,1,"0","0","0","0",3,2136,"0","0","0",76,1206055939,67,"Questo thread discute l'articolo: [url=http://www.lifeintravel.it/index.php?option=content&task=view&Itemid=1&id=227]Diritti umani ed olimpiadi[/url]

boicottiamo le olimpiadi!

senza ipocrisia e con rispetto",tirapacchi,78,1206111177,67,"non sono ironico, io sono per boicottarle sul serio.
che poi, visto come segue questi eventi la tv italiana non sarà nemmeno troppo difficile...",tirapacchi,"0",""
79,15,sito,2,"0","0","0","0",3,2177,"0","0","0",79,1207317800,67,":ohmy: ciao leo, da quand'è che esiste la versione inglese di questo sito? ho visto che anche gli ultimi articoli che hai scritto sono bilingui.... 
adesso che sei a casa a non far nulla potresti iniziare a tradurre anche quelli vecchi!!!!!:evil:  hi hi hi",tirapacchi,81,1207755202,67,":dry: lascio a te l'ingrato compito... io l'inglese prorio non lo capisco...
e poi dovrei sciropparmi di nuovo tutta l'ipocrisia dei tuoi articoli, quella che mi sono lasciato alle spalle dopo la loro lettura (ce n'è voluto di coraggio!!:huh: )
no grazie... ;)",tirapacchi,"0",""
82,15,Spegnamo le olimpiadi!,"0","0","0","0","0",5,2424,"0","0","0",82,1208789244,67,"Questo thread discute l'articolo: [url=http://www.lifeintravel.it/index.php?option=content&task=view&Itemid=1&id=243]Spegnamo le olimpiadi![/url]

:angry: l'ho letto tutto l'articolo, come promesso... magari se ne scrivi altri di così lunghi falli a puntate, così mi la lettura mi riesce più attenta...

allora boicottiamole ste olimpiadi!!! perchè gliele avranno date poi... :huh:",tirapacchi,86,1208794182,67,va bene...,tirapacchi,"0",""
87,15,Cambio forum,"0","0","0","0","0",3,2213,"0","0","0",87,1209062707,62,"Sono un pò indeciso!

Vorrei modificare il forum e passare da quello attuale a [url=http://lifeintravel.forumfree.net/]questo qui[/url]!

Non mi sembra male e fa parte di una grande community.

Il problema è che perderei tutti i posts attuali (non che sia una gran perdita) ma soprattutto la possibilità di integrare la discussione degli articoli in home nel forum.

Che ne dite? (In pratica, che ne dici tirapacchi, unico fedele frequentatore di questo forum?)

Deciderò prima o poi il da farsi.",Leo,90,1209780745,62,"Hai ragione!
Ho deciso che la perdita dei tuoi posts è troppo pesante.;) 

Per questo non modificherò il forum, lasciando questo e attendendo che qualche altra buon'anima si faccia avanti per fare due chiacchiere qui!:( 

Forza tirapacchi!!!!",Leo,"0",""
97,15,Filmfestival della montagna,"0","0","0","0","0",1,2303,"0","0","0",97,1209938530,62,"Questo thread discute l'articolo: [url=http://www.lifeintravel.it/index.php?option=content&task=view&Itemid=1&id=248]Filmfestival della montagna[/url]

Un breve commento per dire che quest'anno il filmfestival è stato vinto da una pellicola impegnata che parla del difficile rapporto tra uomo e ambiente:
\&quot;4elements\&quot; di Jiska Rickels, olandese.

Per tutte le informazioni relative alle pellicole premiate potete vedere [url=http://www.trentofestival.it/it/news/news2530.htm]qui[/url]",Leo,97,1209938530,62,"Questo thread discute l'articolo: [url=http://www.lifeintravel.it/index.php?option=content&task=view&Itemid=1&id=248]Filmfestival della montagna[/url]

Un breve commento per dire che quest'anno il filmfestival è stato vinto da una pellicola impegnata che parla del difficile rapporto tra uomo e ambiente:
\&quot;4elements\&quot; di Jiska Rickels, olandese.

Per tutte le informazioni relative alle pellicole premiate potete vedere [url=http://www.trentofestival.it/it/news/news2530.htm]qui[/url]",Leo,"0",""
100,15,Corso per istruttore di mountain bike,"0","0","0","0","0",7,4514,"0","0","0",100,1210099238,67,"Questo thread discute l'articolo: [url=http://www.lifeintravel.it/index.php?option=content&task=view&Itemid=1&id=251]Corso per istruttore di mountain bike[/url]

vedo che come sempre l'Ale ha tirato il pacco alle prime difficoltà... insomma, con una scusa si è evitato la seconda lezione (1 su 3, non so se mi spiego:unsure: )
the best...ia mi disse che in principio eravate in 2 gruppi diversi ma poi tu leo sei stato declassato per la tua annosa ripugnanza alla strada che scende, è vero? com'è che nell'articolo non ne fai cenno?
ma soprattutto, com'era la situazione gnocca? sacrifichi sempre le parti più importanti sull'altare dell'ipocrisia!",tirapacchi,108,1210603168,67,"sì, ora è a posto!!!",tirapacchi,"0",""
