1,2,friends,"","",friends.approve,,{actor} accepted your friend request.,"",http://rc.joomlashine.com/demo/joomla-templates/jsn_blank/j25/pro/media/com_easysocial/avatars/users/45/5411edb0cac61849fa2fb9d76e3ae359_large.jpg,2013-12-27 09:14:52,"0",45,user,43,user,"","/demo/joomla-templates/jsn_blank/j25/pro/index.php?option=com_easysocial&amp;view=profile&amp;id=45:admin1&amp;Itemid=1395"
2,53,story,[0],story,story.story,,"{actor} posted on your timeline: ""Hi Lucie, what's about this Friday night?""","","",2013-12-27 09:56:54,"0",42,user,44,user,"","/demo/joomla-templates/jsn_blank/j25/pro/index.php?option=com_easysocial&amp;view=stream&amp;layout=item&amp;id=26&amp;Itemid=1395"
3,26,comments,"",story,comments.item,,COM_EASYSOCIAL_SYSTEM_COMMENTS_ITEM_SYSTEM_TITLE,"","",2013-12-27 09:59:45,"0",42,user,42,user,"",/demo/joomla-templates/jsn_blank/j25/pro/index.php?option=com_easysocial&view=stream&id=26&layout=item&Itemid=1395
4,44,profile,"","",profile.followed,,{actor} is now following {target},"","",2013-12-27 09:58:47,"0",42,user,44,user,"",/demo/joomla-templates/jsn_blank/j25/pro/index.php?option=com_easysocial&view=profile&id=42:demoadmin&Itemid=1395
5,1,friends,"","",friends.approve,,{actor} accepted your friend request.,"",http://rc.joomlashine.com/demo/joomla-templates/jsn_blank/j25/pro/media/com_easysocial/avatars/users/44/1ef702ba2f7d5bc7b3fc7221f2c085a1_large.jpg,2013-12-27 09:59:22,"0",44,user,43,user,"","/demo/joomla-templates/jsn_blank/j25/pro/index.php?option=com_easysocial&amp;view=profile&amp;id=44:admin2&amp;Itemid=1395"
6,4,friends,"","",friends.approve,,{actor} accepted your friend request.,"",http://rc.joomlashine.com/demo/joomla-templates/jsn_blank/j25/pro/media/com_easysocial/avatars/users/44/1ef702ba2f7d5bc7b3fc7221f2c085a1_large.jpg,2013-12-27 09:59:23,"0",44,user,42,user,"","/demo/joomla-templates/jsn_blank/j25/pro/index.php?option=com_easysocial&amp;view=profile&amp;id=44:admin2&amp;Itemid=1395"
7,1,comments,"","",comments.like,,{actor} likes your comment.,"","",2013-12-27 10:00:02,1,44,user,42,user,"",/demo/joomla-templates/jsn_blank/j25/pro/index.php?option=com_easysocial&view=stream&layout=item&id=26&Itemid=1395
8,43,profile,"","",profile.followed,,{actor} is now following {target},"","",2013-12-27 10:00:26,"0",44,user,43,user,"",/demo/joomla-templates/jsn_blank/j25/pro/index.php?option=com_easysocial&view=profile&id=44:admin2&Itemid=1395
9,45,profile,"","",profile.followed,,{actor} is now following {target},"","",2013-12-27 10:16:04,"0",44,user,45,user,"",/demo/joomla-templates/jsn_blank/j25/pro/index.php?option=com_easysocial&view=profile&id=44:admin2&Itemid=1395
10,61,story,[0],story,story.story,,"{actor} posted on your timeline: ""Congratulation Matt!""","","",2013-12-27 10:16:56,"0",44,user,45,user,"","/demo/joomla-templates/jsn_blank/j25/pro/index.php?option=com_easysocial&amp;view=stream&amp;layout=item&amp;id=34&amp;Itemid=1395"
11,45,profile,"","",profile.followed,,{actor} is now following {target},"","",2013-12-27 10:36:07,"0",46,user,45,user,"",/demo/joomla-templates/jsn_blank/j25/pro/index.php?option=com_easysocial&view=profile&id=46:admin3&Itemid=1395
12,3,friends,"","",friends.approve,,{actor} accepted your friend request.,"",http://rc.joomlashine.com/demo/joomla-templates/jsn_blank/j25/pro/media/com_easysocial/avatars/users/46/87093814cc0fc0c626f38ce9fb5e9274_large.jpg,2013-12-27 10:37:36,"0",46,user,43,user,"","/demo/joomla-templates/jsn_blank/j25/pro/index.php?option=com_easysocial&amp;view=profile&amp;id=46:admin3&amp;Itemid=1395"
