3,1,"0",Bike and room.... strutture per cicloviaggiatori,hotel-250px-header,"0",1967952,2448,http://www.lifeintravel.it/bike-hotels-la-mappa-di-tutte-le-strutture.html,-2,107,Banner outdoor hotel,"","0",1,"","{""imageurl"":""images\/banners\/bike-room-large.png"",""width"":340,""height"":80,""alt"":""Bike and room""}","0","",-1,"0","0","0","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",2013-05-15 12:05:21,*,"0","","0000-00-00 00:00:00","0",1
4,5,"0",Tour Tenerife LiT,tour-tenerife-lit,"0",134328,441,https://tour.lifeintravel.it/canarie-in-bici-tour-guidato-tenerife.html,1,132,<p>Tour Tenerife Life in Travel</p>,"","0",2,"","{""imageurl"":""images\/banners\/2022\/banner_tenerife_AUTUNNO.gif"",""width"":1200,""height"":"""",""alt"":""Tour Canarie in bici""}","0","",-1,-1,-1,"0","0000-00-00 00:00:00",2021-12-14 08:52:00,2022-11-06 08:52:00,"0000-00-00 00:00:00",2014-04-30 07:49:00,*,"0","",2022-08-10 08:30:44,62,4
5,11,"0",Bikejamming,bikejamming,"0",708493,2607,https://www.bikejamming.it/it/vendita-bici-online/biciclette/biciclette-per-cicloturismo/?utm_source=lifeint&utm_medium=banner&utm_campaign=cicloturlit,1,107,<div>Bike Jamming - Negozio bici</div>,"",1,1,"","{""imageurl"":""images\/banners\/2020\/bikejamming-bici-cicloturismo-2020-d.jpg"",""width"":1350,""height"":"""",""alt"":""Bike Jamming - Bici da viaggio""}","0","",1,1,1,"0","0000-00-00 00:00:00",2020-05-24 22:23:59,"0000-00-00 00:00:00","0000-00-00 00:00:00",2020-05-25 07:09:27,*,"0","",2020-05-28 09:15:24,62,9
6,4,"0",Sassonia Turismo,sassonia-turismo,"0",389738,1026,https://www.sassoniaturismo.it/temi-turistici/vacanze-nella-natura/ciclismo,1,204,"","",1,2,"","{""imageurl"":""images\/banners\/2022\/sassonia-bike-1200x350.jpg"",""width"":1200,""height"":"""",""alt"":""Sassonia Turismo""}","0","",-1,-1,-1,"0","0000-00-00 00:00:00","0000-00-00 00:00:00",2022-08-07 21:59:00,"0000-00-00 00:00:00",2022-07-04 15:12:52,*,"0","",2022-07-04 09:07:44,118,8
7,4,"0",Divisa LIT home,divisa-lit-home,"0",231119,1299,http://lifeintravel.it/abbigliamento-ciclismo-lifeintravel-cicloviaggiatori-fatevi-sotto.html,"0",107,"","",1,3,"","{""imageurl"":""images\/banners\/abbigliamento-lifeintravel-2016-banner-1440-205.gif"",""width"":1440,""height"":205,""alt"":""Ordina la tua divisa Life in Travel""}","0","",-1,-1,-1,"0","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",2015-11-08 16:12:00,*,"0","",2015-11-09 20:00:07,62,2
10,4,"0",Cicloturismo per tutti,cicloturismo-per-tutti,"0",8308329,4930,http://www.lifeintravel.it/cicloturismo-per-tutti-come-organizzare-una-vacanza-in-bicicletta.html,1,162,"","","0",1,"","{""imageurl"":""images\/banners\/pubblicita\/cicloturismo-per-tutti-360x189px.gif"",""width"":360,""height"":189,""alt"":""Cicloturismo per tutti""}","0","",-1,1,1,"0","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",2015-10-06 22:18:00,*,"0","",2015-10-07 08:19:30,62,6
11,4,"0",Guida cicloturismo,guida-cicloturismo,"0",25868,850,http://www.lifeintravel.it/index.php?option=com_k2&Itemid=247&id=2742&lang=it&view=item,1,128,"","",1,1,"","{""imageurl"":""images\/banners\/pubblicita\/banner-360x170.png"",""width"":360,""height"":170,""alt"":""Scarica la guida al cicloturismo""}","0","",-1,1,"0","0","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",2014-11-17 18:01:00,it-IT,"0","",2014-11-21 06:05:19,62,15
12,4,"0",Guida Ciclabili Trentino Ediciclo,guida-ciclabili-trentino,"0",12912815,6343,https://goo.gl/qSxDEA,1,130,"<div>&nbsp;</div>","","0",8,"","{""imageurl"":""images\/banners\/pubblicita\/guida-ciclabili-trentino360X138.gif"",""width"":360,""height"":"""",""alt"":""Guida alle piste ciclabili del Trentino""}","0","",-1,-1,-1,"0","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",2016-07-15 08:48:00,*,"0","",2018-01-15 18:17:50,62,7
14,4,"0",Bikejamming Bombtrack,bikejamming-bombtrack,"0",290842,982,https://www.bikejamming.it/it/content/buy_your_adventure_bike_here.html,1,166,"","",1,1,"","{""imageurl"":""images\/banners\/collaborazioni\/2021\/banner-bikejamming2.png"",""width"":1198,""height"":"""",""alt"":""Bici da viaggio Bikejamming""}","0","",-1,"0","0","0","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",2021-10-05 01:22:12,*,"0","",2021-11-01 04:32:27,118,13
15,4,"0",Guida al cicloturismo wide,guida-al-cicloturismo-wide,"0",21481,1657,http://www.lifeintravel.it/cicloturismo-guida-gratis-scaricare.html,-2,122,Guida cicloturismo,"","0",3,"","{""imageurl"":""images\/banners\/banner850x120.gif"",""width"":850,""height"":120,""alt"":""Scarica la guida al cicloturismo""}","0","",-1,"0","0","0","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",2014-11-26 17:49:00,*,"0","",2014-11-26 15:27:01,62,5
