1,article,com_content.article,id,title,#__content,PLG_ACTIONLOG_JOOMLA
2,article,com_content.form,id,title,#__content,PLG_ACTIONLOG_JOOMLA
3,banner,com_banners.banner,id,name,#__banners,PLG_ACTIONLOG_JOOMLA
4,user_note,com_users.note,id,subject,#__user_notes,PLG_ACTIONLOG_JOOMLA
5,media,com_media.file,"",name,"",PLG_ACTIONLOG_JOOMLA
6,category,com_categories.category,id,title,#__categories,PLG_ACTIONLOG_JOOMLA
7,menu,com_menus.menu,id,title,#__menu_types,PLG_ACTIONLOG_JOOMLA
8,menu_item,com_menus.item,id,title,#__menu,PLG_ACTIONLOG_JOOMLA
9,newsfeed,com_newsfeeds.newsfeed,id,name,#__newsfeeds,PLG_ACTIONLOG_JOOMLA
10,link,com_redirect.link,id,old_url,#__redirect_links,PLG_ACTIONLOG_JOOMLA
11,tag,com_tags.tag,id,title,#__tags,PLG_ACTIONLOG_JOOMLA
12,style,com_templates.style,id,title,#__template_styles,PLG_ACTIONLOG_JOOMLA
13,plugin,com_plugins.plugin,extension_id,name,#__extensions,PLG_ACTIONLOG_JOOMLA
14,component_config,com_config.component,extension_id,name,"",PLG_ACTIONLOG_JOOMLA
15,contact,com_contact.contact,id,name,#__contact_details,PLG_ACTIONLOG_JOOMLA
16,module,com_modules.module,id,title,#__modules,PLG_ACTIONLOG_JOOMLA
17,access_level,com_users.level,id,title,#__viewlevels,PLG_ACTIONLOG_JOOMLA
18,banner_client,com_banners.client,id,name,#__banner_clients,PLG_ACTIONLOG_JOOMLA
19,application_config,com_config.application,"",name,"",PLG_ACTIONLOG_JOOMLA
