1,HEADER,40,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_ACCOUNT_INFORMATION,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_ACCOUNT_INFORMATION_DESC,1,"","",1,1,1,"","0","0",1,1,"0","0"
2,JOOMLA_FULLNAME,42,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_YOUR_NAME,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_YOUR_NAME_DESC,1,"","",1,1,1,"",1,"0",1,1,1,"0"
3,JOOMLA_USERNAME,46,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_DESIRED_USERNAME,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_DESIRED_USERNAME_DESC,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_DESIRED_USERNAME_DEFAULT,"",1,"0",1,"",2,"0",1,1,"0","0"
4,JOOMLA_PASSWORD,43,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_PASSWORD,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_PASSWORD_DESC,1,"","",1,"0",1,"{""reconfirm_password"":true,""password_strength"":true}",3,"0",1,1,"0","0"
5,JOOMLA_EMAIL,41,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_EMAIL_ADDRESS,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_EMAIL_ADDRESS_DESC,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_EMAIL_DEFAULT,"",1,1,1,"",4,"0",1,1,"0","0"
6,JOOMLA_USER_EDITOR,45,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_EDITOR,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_EDITOR_DESC,1,"","",1,1,"0","",5,"0","0",1,"0","0"
7,JOOMLA_TIMEZONE,44,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_TIMEZONE,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_TIMEZONE_DESC,1,"","",1,1,"0","",6,"0",1,1,1,"0"
8,PERMALINK,49,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_PERMALINK,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_PERMALINK_DESC,1,"","",1,1,"0","",7,"0",1,1,1,"0"
9,HEADER-1,40,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_DETAILS,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_DETAILS_DESC,1,"","",1,1,1,"",8,"0",1,1,"0","0"
10,GENDER,39,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_GENDER,1,COM_EASYSOCIAL_FIELDS_PROFILE_DEFAULT_GENDER_DESC,1,"","",1,1,1,"",9,"0",1,1,1,"0"
