2,2,jaembed_text,{YouTube}FFnQ4-kEaWg{/YouTube},"0"
3,71,jaembed_text,{YouTube}1MKwiCBaRpo{/YouTube},"0"
4,225,jaembed_text,{YouTube}9aZNcawK3xk{/YouTube},"0"
5,274,jaembed_text,{YouTube}yLrFszqHuQ0{/YouTube},"0"
6,276,jaembed_text,{YouTube}LtfxRBBRCgA{/YouTube},"0"
7,281,jaembed_text,{YouTube}w3OqZXBSkeg{/YouTube},"0"
8,292,jaembed_text,{YouTube}vHkWqblOjtk{/YouTube},"0"
9,323,jaembed_text,{YouTube}1zPsxv5ozI0{/YouTube},"0"
10,346,jaembed_text,{YouTube}GlWfP6NIrDo{/YouTube},"0"
11,347,jaembed_text,{YouTube}ThqD9RBLTI8{/YouTube},"0"
12,349,jaembed_text,{YouTube}oiqkg9EC0lM{/YouTube},"0"
13,351,jaembed_text,{YouTube}iV4KPnm0BOY{/YouTube},"0"
14,352,jaembed_text,{YouTube}T7CsO_Rh7C8{/YouTube},"0"
15,353,jaembed_text,{YouTube}auLLsKBZUrU{/YouTube},"0"
16,354,jaembed_text,{YouTube}wlA5H1Xca3s{/YouTube},"0"
17,355,jaembed_text,{YouTube}dW_WQg1UVjE{/YouTube},"0"
18,356,jaembed_text,{YouTube}a3zPaLsyHLo{/YouTube},"0"
19,358,jaembed_text,{YouTube}GFoKfdsM4DE{/YouTube},"0"
20,361,jaembed_text,{YouTube}OtIT5kZmH8c{/YouTube},"0"
21,410,jaembed_text,{YouTube}bALCUL6hMHQ{/YouTube},"0"
22,449,jaembed_text,{YouTube}o3mEmsIIYqk{/YouTube},"0"
23,524,jaembed_text,{YouTube}pxF829U-Rkg{/YouTube},"0"
24,618,jaembed_text,{YouTube}VLusGFAG0Wg{/YouTube},"0"
25,666,jaembed_text,{YouTube}A2TSPTzb9lA{/YouTube},"0"
26,667,jaembed_text,{YouTube}5EkwB3nE9Z4{/YouTube},"0"
27,930,jaembed_text,{YouTube}FW7XapZYNwo{/YouTube},"0"
28,931,jaembed_text,{YouTube}85TsLUoDOYk{/YouTube},"0"
29,933,jaembed_text,{YouTube}PWc1WAO0tZU{/YouTube},"0"
30,934,jaembed_text,{YouTube}pxF829U-Rkg{/YouTube},"0"
31,935,jaembed_text,{YouTube}iV4KPnm0BOY{/YouTube},"0"
32,936,jaembed_text,{YouTube}oc_4NteT9rQ{/YouTube},"0"
33,937,jaembed_text,{YouTube}NZcXF10Ir9Q{/YouTube},"0"
34,938,jaembed_text,{YouTube}a3zPaLsyHLo{/YouTube},"0"
35,939,jaembed_text,{YouTube}auLLsKBZUrU{/YouTube},"0"
36,940,jaembed_text,{YouTube}wlA5H1Xca3s{/YouTube},"0"
37,941,jaembed_text,{YouTube}dW_WQg1UVjE{/YouTube},"0"
38,942,jaembed_text,{YouTube}o3mEmsIIYqk{/YouTube},"0"
39,943,jaembed_text,{YouTube}GFoKfdsM4DE{/YouTube},"0"
40,944,jaembed_text,{YouTube}2IkdNKLdj5A{/YouTube},"0"
41,945,jaembed_text,{YouTube}OtIT5kZmH8c{/YouTube},"0"
42,946,jaembed_text,{YouTube}1MKwiCBaRpo{/YouTube},"0"
43,947,jaembed_text,{YouTube}FFnQ4-kEaWg{/YouTube},"0"
44,1040,jaembed_text,{YouTube}2ulf5Mm4E2I{/YouTube},"0"
45,1050,jaembed_text,{YouTube}2IkdNKLdj5A{/YouTube},"0"
46,1066,jaembed_text,{YouTube}5EkwB3nE9Z4{/YouTube},"0"
47,1084,jaembed_text,{YouTube}qGCuMd6QGUg{/YouTube},"0"
48,1110,jaembed_text,{YouTube}-c43hGQcU08{/YouTube},"0"
49,1116,jaembed_text,{Vimeo}61486365{/Vimeo},"0"
50,1119,jaembed_text,{Vimeo}61486365{/Vimeo},"0"
51,1125,jaembed_text,{YouTube}1LI9XFTEYSE{/YouTube},"0"
52,1141,jaembed_text,{Vimeo}61617946{/Vimeo},"0"
53,1158,jaembed_text,{YouTube}FAnrtSj_JbU{/YouTube},"0"
54,1165,jaembed_text,{YouTube}FAnrtSj_JbU{/YouTube},"0"
55,1167,jaembed_text,{YouTube}xzeYy3oNqNY{/YouTube},"0"
56,1169,jaembed_text,{YouTube}FAnrtSj_JbU{/YouTube},"0"
57,1172,jaembed_text,{YouTube}FAnrtSj_JbU{/YouTube},"0"
58,1182,jaembed_text,{YouTube}N80u4WCGbXo{/YouTube},"0"
59,1189,jaembed_text,{YouTube}N80u4WCGbXo{/YouTube},"0"
60,1190,jaembed_text,{YouTube}FAnrtSj_JbU{/YouTube},"0"
61,1206,jaembed_text,{YouTube}FAnrtSj_JbU{/YouTube},"0"
62,1211,jaembed_text,{YouTube}QHyA2kI0eKQ{/YouTube},"0"
63,1218,jaembed_text,{YouTube}JPK_ytZ6ET8{/YouTube},"0"
64,1228,jaembed_text,{YouTube}xUAHY6i94_Y{/YouTube},"0"
65,1253,jaembed_text,{YouTube}JPK_ytZ6ET8{/YouTube},"0"
66,1270,jaembed_text,{YouTube}JPK_ytZ6ET8{/YouTube},"0"
67,1317,jaembed_text,{YouTube}CqVDBAzMpIw{/YouTube},"0"
68,1352,jaembed_text,{YouTube}lu_aPTyDjR0{/YouTube},"0"
69,1416,jaembed_text,{YouTube}DwGCEn2Mb9w{/YouTube},"0"
