1,"0",Cicloturismo e viaggi in bici,cicloturismo-e-viaggi-in-bici,"","0","0",joomla.level,1,"0","0","0","0",1,1,THIS,,1000-01-01 00:00:00,"0","0","0","0",Cerco o offro informazioni e consigli - compagni di cicloviaggio,"","","","0",lastpost,default,"0","0","0","0","0","0",{}
4,1,Dati di viaggio,4-Dati-di-viaggio,"","0","0",joomla.level,3,21,"0","0","0",6,1,THIS,"0",1000-01-01 00:00:00,"0","0","0","0","","","","","0",lastpost,default,7,39,361,362,1296123817,"0","{""access_post"":[""6"",""2"",""8""],""access_reply"":[""6"",""2"",""8""]}"
9,1,Europa,europa,"","0","0",joomla.level,1,"0","0","0","0",2,1,THIS,,1000-01-01 00:00:00,"0","0","0","0","Viaggi in bici, itinerari, consigli e informazioni sul cicloturismo in Europa","","","","0",lastpost,default,27,105,6393,8698,1647430185,"0","{""access_post"":[""6"",""2"",""8""],""access_reply"":[""6"",""2"",""8""]}"
13,1,Compagni di viaggio,compagni-di-viaggio,"","0","0",joomla.level,1,"0","0","0","0",4,1,THIS,"0",1000-01-01 00:00:00,"0","0","0","0",Sto organizzando un viaggio in bici... vuoi venire con me?,"","","","0",lastpost,default,43,126,6458,8755,1661752761,"0","{""access_post"":[""6"",""2"",""8""],""access_reply"":[""6"",""2"",""8""]}"
14,"0",Miscellanea,miscellanea,"","0","0",joomla.level,1,"0","0","0","0",3,1,THIS,"0",1000-01-01 00:00:00,"0","0","0","0",Tutto ciò che non trova spazio altrove...,"","","","0",lastpost,default,"0","0","0","0","0","0",{}
15,14,Di tutto un po`...,15-Di-tutto-un-po,"","0","0",joomla.level,1,"0","0","0","0",3,1,THIS,"0",1000-01-01 00:00:00,"0","0","0","0",Non hai trovato il posto giusto... qui va bene tutto,"","","",1,lastpost,default,38,168,675,8561,1626249607,"0","{""access_post"":[""6"",""2"",""8""],""access_reply"":[""6"",""2"",""8""]}"
25,38,"GPS, apps e cartografia",25-GPS-e-cartografia,"","0","0",joomla.level,1,"0","0","0","0",1,1,THIS,"0",1000-01-01 00:00:00,"0","0","0","0","GPS, mappe, cartografia, applicazioni","","","","0",lastpost,default,12,43,6309,8560,1626247743,"0","{""access_post"":[""6"",""2"",""8""],""access_reply"":[""6"",""2"",""8""]}"
31,14,Eventi a pedali,eventi-a-pedali,"","0","0",joomla.level,1,"0","0","0","0",1,1,THIS,"0",1000-01-01 00:00:00,"0","0","0","0",Eventi ed avvenimenti relativi al cicloturismo e ai viaggi in bici,"","","","0",lastpost,default,3,3,903,1153,1485007700,"0","{""access_post"":[""6"",""2"",""8""],""access_reply"":[""6"",""2"",""8""]}"
32,1,Italia,italia,"","0","0",joomla.level,1,1,1,8,1,1,1,THIS,"0",1000-01-01 00:00:00,"0","0","0","0","Viaggi in bici, consigli, itinerari e informazioni sul cicloturismo in Italia","","","","0",lastpost,default,51,168,6539,8767,1666442838,"0","{""access_post"":[""6"",""2"",""8""],""access_reply"":[""6"",""2"",""8""]}"
33,1,Mondo,mondo,"","0","0",joomla.level,1,1,1,8,1,3,1,THIS,"0",1000-01-01 00:00:00,"0","0","0","0","Viaggi in bici, consigli ed informazioni sul cicloturismo nei paesi extraeuropei","","","","0",lastpost,default,8,91,1169,8141,1579011539,"0","{""access_post"":[""6"",""2"",""8""],""access_reply"":[""6"",""2"",""8""]}"
